,OFNS_DESC
ASSAULT 3 & RELATED OFFENSES,5861
FELONY ASSAULT,3208
PETIT LARCENY,3049
DANGEROUS DRUGS,2996
MISCELLANEOUS PENAL LAW,2307
CRIMINAL MISCHIEF & RELATED OF,2062
ROBBERY,1951
BURGLARY,1716
DANGEROUS WEAPONS,1649
GRAND LARCENY,1615
OFFENSES AGAINST PUBLIC ADMINI,1362
VEHICLE AND TRAFFIC LAWS,1109
OFF. AGNST PUB ORD SENSBLTY &,690
SEX CRIMES,652
INTOXICATED & IMPAIRED DRIVING,462
CRIMINAL TRESPASS,457
POSSESSION OF STOLEN PROPERTY,455
FORGERY,386
GRAND LARCENY OF MOTOR VEHICLE,340
MURDER & NON-NEGL. MANSLAUGHTE,248
FOR OTHER AUTHORITIES,230
OTHER TRAFFIC INFRACTION,220
OTHER OFFENSES RELATED TO THEF,214
OFFENSES AGAINST THE PERSON,199
BURGLAR'S TOOLS,185
OFFENSES INVOLVING FRAUD,184
UNAUTHORIZED USE OF A VEHICLE,162
NYS LAWS-UNCLASSIFIED FELONY,147
GAMBLING,146
RAPE,130
OTHER STATE LAWS (NON PENAL LA,128
FRAUDS,104
INTOXICATED/IMPAIRED DRIVING,76
OTHER STATE LAWS,55
ALCOHOLIC BEVERAGE CONTROL LAW,51
PROSTITUTION & RELATED OFFENSES,34
THEFT-FRAUD,34
ADMINISTRATIVE CODE,32
THEFT OF SERVICES,25
ARSON,19
"LOITERING/GAMBLING (CARDS, DIC",12
KIDNAPPING & RELATED OFFENSES,10
FRAUDULENT ACCOSTING,9
DISORDERLY CONDUCT,8
MOVING INFRACTIONS,7
HARRASSMENT 2,7
OFFENSES AGAINST PUBLIC SAFETY,5
ENDAN WELFARE INCOMP,5
OFFENSES RELATED TO CHILDREN,5
CHILD ABANDONMENT/NON SUPPORT,5
"HOMICIDE-NEGLIGENT,UNCLASSIFIE",3
OTHER STATE LAWS (NON PENAL LAW),2
JOSTLING,2
ESCAPE 3,2
HOMICIDE-NEGLIGENT-VEHICLE,1
NEW YORK CITY HEALTH CODE,1
