DATE_OF_INTEREST,CASE_COUNT,HOSPITALIZED_COUNT,DEATH_COUNT
02/29/2020 12:00:00 AM,1,11,0
03/01/2020 12:00:00 AM,0,4,0
03/02/2020 12:00:00 AM,0,21,0
03/03/2020 12:00:00 AM,2,20,0
03/04/2020 12:00:00 AM,5,22,0
03/05/2020 12:00:00 AM,3,20,0
03/06/2020 12:00:00 AM,8,18,0
03/07/2020 12:00:00 AM,7,15,0
03/08/2020 12:00:00 AM,21,17,0
03/09/2020 12:00:00 AM,58,49,0
03/10/2020 12:00:00 AM,70,63,0
03/11/2020 12:00:00 AM,155,90,1
03/12/2020 12:00:00 AM,357,94,0
03/13/2020 12:00:00 AM,620,157,0
03/14/2020 12:00:00 AM,643,157,2
03/15/2020 12:00:00 AM,1037,191,5
03/16/2020 12:00:00 AM,2122,316,8
03/17/2020 12:00:00 AM,2453,356,8
03/18/2020 12:00:00 AM,2974,471,20
03/19/2020 12:00:00 AM,3707,558,24
03/20/2020 12:00:00 AM,4007,665,47
03/21/2020 12:00:00 AM,2638,701,44
03/22/2020 12:00:00 AM,2580,725,50
03/23/2020 12:00:00 AM,3572,1042,82
03/24/2020 12:00:00 AM,4506,1167,95
03/25/2020 12:00:00 AM,4874,1312,123
03/26/2020 12:00:00 AM,5051,1454,190
03/27/2020 12:00:00 AM,5121,1402,218
03/28/2020 12:00:00 AM,3477,1371,274
03/29/2020 12:00:00 AM,3561,1411,292
03/30/2020 12:00:00 AM,6131,1722,325
03/31/2020 12:00:00 AM,5467,1701,385
04/01/2020 12:00:00 AM,5453,1650,447
04/02/2020 12:00:00 AM,5758,1627,499
04/03/2020 12:00:00 AM,5671,1603,498
04/04/2020 12:00:00 AM,3868,1350,512
04/05/2020 12:00:00 AM,3788,1339,580
04/06/2020 12:00:00 AM,6367,1722,575
04/07/2020 12:00:00 AM,6055,1610,599
04/08/2020 12:00:00 AM,5582,1547,569
04/09/2020 12:00:00 AM,5072,1424,561
04/10/2020 12:00:00 AM,4517,1346,540
04/11/2020 12:00:00 AM,3731,1108,542
04/12/2020 12:00:00 AM,2890,997,572
04/13/2020 12:00:00 AM,3313,1214,570
04/14/2020 12:00:00 AM,4146,1094,510
04/15/2020 12:00:00 AM,3877,983,455
04/16/2020 12:00:00 AM,3529,884,414
04/17/2020 12:00:00 AM,3584,903,385
04/18/2020 12:00:00 AM,2172,675,390
04/19/2020 12:00:00 AM,2347,592,399
04/20/2020 12:00:00 AM,3793,729,364
04/21/2020 12:00:00 AM,3065,668,324
04/22/2020 12:00:00 AM,3461,600,313
04/23/2020 12:00:00 AM,2843,537,332
04/24/2020 12:00:00 AM,2536,554,316
04/25/2020 12:00:00 AM,1595,405,264
04/26/2020 12:00:00 AM,1003,375,247
04/27/2020 12:00:00 AM,2297,448,271
04/28/2020 12:00:00 AM,2729,448,229
04/29/2020 12:00:00 AM,2342,408,240
04/30/2020 12:00:00 AM,2024,350,225
05/01/2020 12:00:00 AM,1889,354,210
05/02/2020 12:00:00 AM,1060,267,191
05/03/2020 12:00:00 AM,786,267,177
05/04/2020 12:00:00 AM,1553,344,159
05/05/2020 12:00:00 AM,1513,322,152
05/06/2020 12:00:00 AM,1401,310,151
05/07/2020 12:00:00 AM,1235,285,141
05/08/2020 12:00:00 AM,1081,297,131
05/09/2020 12:00:00 AM,657,212,100
05/10/2020 12:00:00 AM,458,165,103
05/11/2020 12:00:00 AM,1233,246,104
