DATE_OF_INTEREST,Cases,7-day average,INCOMPLETE,BASELINE
2/29/2020,1,null,null,0
3/1/2020,0,null,null,0
3/2/2020,0,null,null,0
3/3/2020,2,null,null,0
3/4/2020,5,null,null,0
3/5/2020,3,null,null,0
3/6/2020,8,3,null,0
3/7/2020,7,4,null,0
3/8/2020,21,7,null,0
3/9/2020,58,15,null,0
3/10/2020,70,25,null,0
3/11/2020,155,46,null,0
3/12/2020,357,97,null,0
3/13/2020,620,184,null,0
3/14/2020,643,275,null,0
3/15/2020,1037,420,null,0
3/16/2020,2122,715,null,0
3/17/2020,2453,1055,null,0
3/18/2020,2974,1458,null,0
3/19/2020,3707,1937,null,0
3/20/2020,4007,2420,null,0
3/21/2020,2638,2705,null,0
3/22/2020,2580,2926,null,0
3/23/2020,3572,3133,null,0
3/24/2020,4506,3426,null,0
3/25/2020,4874,3698,null,0
3/26/2020,5051,3890,null,0
3/27/2020,5122,4049,null,0
3/28/2020,3477,4169,null,0
3/29/2020,3561,4309,null,0
3/30/2020,6131,4675,null,0
3/31/2020,5465,4812,null,0
4/1/2020,5454,4894,null,0
4/2/2020,5758,4995,null,0
4/3/2020,5671,5074,null,0
4/4/2020,3868,5130,null,0
4/5/2020,3788,5162,null,0
4/6/2020,6369,5196,null,0
4/7/2020,6057,5281,null,0
4/8/2020,5582,5299,null,0
4/9/2020,5072,5201,null,0
4/10/2020,4517,5036,null,0
4/11/2020,3731,5017,null,0
4/12/2020,2890,4888,null,0
4/13/2020,3313,4452,null,0
4/14/2020,4147,4179,null,0
4/15/2020,3877,3935,null,0
4/16/2020,3529,3715,null,0
4/17/2020,3584,3582,null,0
4/18/2020,2172,3359,null,0
4/19/2020,2347,3281,null,0
4/20/2020,3793,3350,null,0
4/21/2020,3065,3195,null,0
4/22/2020,3461,3136,null,0
4/23/2020,2843,3038,null,0
4/24/2020,2536,2888,null,0
4/25/2020,1595,2806,null,0
4/26/2020,1003,2614,null,0
4/27/2020,2297,2400,null,0
4/28/2020,2729,2352,null,0
4/29/2020,2342,2192,null,0
4/30/2020,2024,2075,null,0
5/1/2020,1889,1983,null,0
5/2/2020,1060,1906,null,0
5/3/2020,785,1875,null,0
5/4/2020,1553,1769,null,0
5/5/2020,1513,1595,null,0
5/6/2020,1401,1461,null,0
5/7/2020,1235,1348,null,0
5/8/2020,1081,1233,null,0
5/9/2020,657,1175,null,0
5/10/2020,458,1128,null,0
5/11/2020,1233,1083,null,0
5/12/2020,1285,1050,null,0
5/13/2020,1336,1041,null,0
5/14/2020,1112,1023,null,0
5/15/2020,875,994,null,0
5/16/2020,487,969,null,0
5/17/2020,359,955,null,0
5/18/2020,898,907,null,0
5/19/2020,1003,867,null,0
5/20/2020,1081,831,null,0
5/21/2020,1070,825,null,0
5/22/2020,1050,850,null,0
5/23/2020,460,846,null,0
5/24/2020,472,862,null,0
5/25/2020,468,801,null,0
5/26/2020,1054,808,null,0
5/27/2020,745,760,null,0
5/28/2020,646,699,null,0
5/29/2020,647,642,null,0
5/30/2020,348,626,null,0
5/31/2020,231,591,null,0
6/1/2020,687,623,null,0
6/2/2020,574,554,null,0
6/3/2020,517,521,null,0
6/4/2020,525,504,null,0
6/5/2020,403,469,null,0
6/6/2020,247,455,null,0
6/7/2020,199,450,null,0
6/8/2020,451,417,null,0
6/9/2020,420,395,null,0
6/10/2020,365,373,null,0
6/11/2020,368,350,null,0
6/12/2020,410,351,null,0
6/13/2020,196,344,null,0
6/14/2020,183,342,null,0
6/15/2020,379,332,null,0
6/16/2020,422,332,null,0
6/17/2020,355,330,null,0
6/18/2020,379,332,null,0
